X,Y,osm_id,addr:housenumber,office,name,addr:street,website,phone,addr:postcode,addr:city
1.5669159,43.4827149,3951612660,670,,,,,,,
1.56669,43.4829577,5017090332,644,,,,,,,
1.5666001,43.483113,5017090331,626,,,,,,,
1.5661996,43.4834688,5017090328,574,,,,,,,
1.566096,43.4835988,5017068155,556,,,Avenue des Chênes,,,,
1.5659391,43.4837457,5017090327,538,,,,,,,
1.5663576,43.4833449,5017090329,592,,,,,,,
1.5664269,43.4832666,5017090330,608,,,,,,,
1.5665406,43.4835083,5017068196,587,,,,,,,
1.5666733,43.4833713,5017068201,605,,,,,,,
1.5668106,43.4832309,5017068206,625,,,,,,,
1.5664755,43.483688,5017068187,569,,,,,,,
1.5662854,43.4837683,5017068180,551,,,,,,,
1.5668339,43.4838605,8895912013,148,,,Avenue des Chênes,,,,
1.5673453,43.4827364,5017068220,691,,,,,,,
1.5671156,43.482909,5017068211,669,,,,,,,
1.5669331,43.483051,5017090333,643,,,,,,,
1.5675299,43.4830791,8895912007,248,,,Avenue des Chênes,,,,
1.5679254,43.4827235,6285901593,302,,,,,,,
1.5678412,43.4828042,3951612657,284,,,,,,,
1.5676841,43.4829477,8895912006,266,,,Avenue des Chênes,,,,
1.567947,43.4830504,3951612056,267,,,,,,,
1.5677951,43.4831941,3951612707,245,,,,,,,
1.5682424,43.4828667,6285901594,291,,,,,,,
1.5672263,43.4834571,7012599230,202,,,,,,,
1.5673005,43.4832927,7012599229,220,,,,,,,
1.5675339,43.4834693,8895912008,213,,,Avenue des Chênes,,,,
1.5671019,43.4836361,3951612055,184,,,,,,,
1.5669586,43.48377,8895912010,166,,,Avenue des Chênes,,,,
1.5672013,43.4838566,8895912011,163,,,Avenue des Chênes,,,,
1.567432,43.4837048,8895912009,189,,,Avenue des Chênes,,,,
1.5683144,43.4827609,8895911995,317,,,Avenue des Chênes,,,,
1.5626501,43.4866044,1327255679,570,,,,,,,
1.5654969,43.4842235,5017090324,470,,,,,,,
1.5651735,43.4845344,3284679893,428,,,,,,,
1.565297,43.4843735,3284679894,448,,,,,,,
1.5651365,43.4849085,6285894611,396,,,,,,,
1.5655292,43.4846014,5017090323,437,,,,,,,
1.5654513,43.4851873,3284679891,354,,,,,,,
1.5639286,43.4864931,1326645484,57,,,,,,,
1.564812,43.4853735,1326645130,204,,,,,,,
1.5647089,43.4857206,1326645481,159,,,,,,,
1.5644803,43.4862847,1326645128,39,,,,,,,
1.5648342,43.4864644,1326645149,65,,,,,,,
1.5650636,43.4862795,1326645552,50,,,,,,,
1.5629428,43.4868756,1327255702,540,,,,,,,
1.5629562,43.4871832,1327255658,500,,,,,,,
1.5634555,43.4872193,1327255725,460,,,,,,,
1.5635479,43.4867759,1326645671,25,,,,,,,
1.5637403,43.4866661,1326645413,33,,,,,,,
1.5638669,43.4869041,1326645180,461,,,,,,,
1.5640111,43.4871058,1326645746,451,,,,,,,
1.5637227,43.4874455,1327255633,450,,,,,,,
1.5642791,43.4872444,1326645020,431,,,,,,,
1.5647662,43.4870865,1326645756,411,,,,,,,
1.5646318,43.4874844,1326645094,381,,,,,,,
1.5646598,43.4879265,1327255703,360,,,,,,,
1.5649122,43.4876405,1326645494,361,,,,,,,
1.5651285,43.4878046,1326645654,351,,,,,,,
1.5655308,43.487948,1326645177,339,,,,,,,
1.5649591,43.4881022,1327255694,346,,,,,,,
1.5649635,43.4889484,1327750097,190,,,,,,,
1.5654063,43.4888354,1327749119,181,,,,,,,
1.5651198,43.4891251,1327748396,180,,,,,,,
1.565457,43.4893218,1327749412,150,,,,,,,
1.5657273,43.4839658,5017090325,506,,,,,,,
1.5656052,43.4841153,5017068160,488,,,,,,,
1.5661667,43.483895,5017090326,533,,,,,,,
1.5659484,43.484102,5017068173,503,,,,,,,
1.5657116,43.4843459,3284679896,459,,,,,,,
1.5657892,43.484244,3284679898,481,,,,,,,
1.5662351,43.4843474,5023018329,74,,,,,,,
1.5665066,43.4840823,3979468978,108,,,,,,,
1.5667313,43.4839767,5023020515,130,,,,,,,
1.56682,43.4841446,5023020625,107,,,,,,,
1.5662415,43.4844592,3284679899,52,,,,,,,
1.5665191,43.4844797,3979468970,65,,,,,,,
1.5666434,43.4844852,8895912012,83,,,Avenue des Chênes,,,,
1.566021,43.4847171,3979468969,34,,,,,,,
1.5657003,43.4852461,3284679890,336,,,,,,,
1.5661273,43.4850202,3284679879,11,,,,,,,
1.5660659,43.4851359,3284679889,307,,,,,,,
1.5664338,43.4846391,3284679897,47,,,,,,,
1.5662952,43.484787,3979468968,31,,,,,,,
1.5663684,43.4852598,6285894614,293,,,Avenue des Chênes,,,,
1.565916,43.4853068,3951612659,318,,,,,,,
1.566036,43.4853935,3951612658,300,,,,,,,
1.5661497,43.4854383,3284679887,284,,,,,,,
1.5664674,43.4855969,3284679886,260,,,,,,,
1.5666988,43.4854431,3284679885,249,,,,,,,
1.5668739,43.4858179,3284680137,212,,,,,,,
1.5656608,43.4860194,1326645826,95,,,,,,,
1.5661453,43.4859492,1326645725,114,,,,,,,
1.5669406,43.4855749,6285894613,229,,,Avenue des Chênes,,,,
1.5671846,43.4856688,3284679883,217,,,,,,,
1.5669749,43.4859806,3284679881,188,,,,,,,
1.5674179,43.4860513,3284680156,166,,,,,,,
1.5672965,43.4865651,1326645162,234,,,,,,,
1.567778,43.4859807,8895912014,149,,,Avenue des Chênes,,,,
1.5676252,43.4861526,3284679880,142,,,,,,,
1.5679769,43.4860951,3284680169,125,,,,,,,
1.5679195,43.4863225,3285535362,120,,,,,,,
1.5683638,43.4863971,3284679882,21,,,,,,,
1.5683068,43.4864599,3284679892,37,,,,,,,
1.5709579,43.4857106,1324663127,140,,,,,,,
1.570905,43.4859314,1324663320,130,,,,,,,
1.5708745,43.4861364,1324663271,106,,,,,,,
1.5708211,43.4863667,1324663383,96,,,,,,,
1.5707825,43.4865805,1324663180,56,,,,,,,
1.5669075,43.4866371,1326645364,209,,,,,,,
1.56625,43.4871118,1941886448,205,,,,,,,
1.5666709,43.4871065,1941886444,215,,,,,,,
1.5671118,43.4867451,1326645496,235,,,,,,,
1.5680951,43.4866391,3284679895,45,,,,,,,
1.5660976,43.4885923,1327748515,10,,,,,,,
1.5657731,43.4887055,1327749348,249,,,,,,,
1.5661651,43.4892017,1327748424,112,,,,,,,
1.5659378,43.4892538,1327748159,126,,,,,,,
1.5662625,43.4889635,1327748465,100,,,,,,,
1.5667393,43.4887099,1327749243,200,,,,,,,
1.566947,43.4883509,1327749369,201,,,,,,,
1.5677944,43.4885807,1327749815,119,,,,,,,
1.5670229,43.4887921,1327749613,160,,,,,,,
1.5672733,43.4888533,1327749873,150,,,,,,,
1.5676222,43.488844,1327748444,130,,,,,,,
1.5679564,43.4888566,1327749249,100,,,,,,,
1.5691095,43.4875455,1326211412,200,,,,,,,
1.569202,43.4878513,7012561817,178,,,,,,,
1.570722,43.4867568,1324770556,34,,,,,,,
1.5707015,43.4870098,1324770554,10,,,,,,,
1.5707058,43.4869818,1324770559,12,,,,,,,
1.5691146,43.4881905,1326211252,130,,,,,,,
1.5693212,43.4896068,1326281798,11,,,,,,,
1.5697852,43.4897766,1326281951,20,,,,,,,
1.5699737,43.4898616,1326281525,60,,,,,,,
1.5696754,43.4900581,1326281478,81,,,,,,,
1.5701184,43.4899955,1326281380,80,,,,,,,
1.5708308,43.4898105,6964496745,89,,,,,,,
1.5709792,43.4897501,6964496754,75,,,,,,,
1.5700857,43.4902019,1326281562,100,,,,,,,
1.5702327,43.4902829,1326281461,104,,,,,,,
1.5697869,43.4904976,1326281910,105,,,,,,,
1.5700655,43.490515,1326281458,145,,,,,,,
1.5701696,43.4905296,1326281448,7,,,,,,,
1.5702746,43.4905456,1326281530,3,,,,,,,
1.570352,43.4906916,1326281619,1,,,,,,,
1.5700017,43.4908058,1326281965,199,,,,,,,
1.5703142,43.4909666,1326281627,205,,,,,,,
1.5708402,43.4909741,1326281847,200,,,,,,,
1.5705916,43.4911249,1326281444,211,,,,,,,
1.5707378,43.4913213,1326281818,221,,,,,,,
1.5709563,43.4914456,1326281468,229,,,,,,,
1.571262,43.4857754,1324663047,156,,,,,,,
1.57162,43.4858834,1324662967,172,,,,,,,
1.5712201,43.4861714,1324759453,109,,,,,,,
1.5716662,43.4862018,1324759452,207,,,,,,,
1.5716991,43.48622,1324759455,209,,,,,,,
1.5712017,43.4864248,1324759451,77,,,,,,,
1.571508,43.4866142,1324759450,67,,,,,,,
1.5715349,43.486592,1324759454,71,,,,,,,
1.5717517,43.4860124,1324663220,198,,,,,,,
1.571819,43.4860494,1324663484,200,,,,,,,
1.572046,43.4861205,1324663295,61,,,,,,,
1.5721454,43.4861763,1324662972,55,,,,,,,
1.5719304,43.4863935,1324662934,52,,,,,,,
1.5719964,43.4864305,1324663219,48,,,,,,,
1.5722,43.4865428,1324663346,26,,,,,,,
1.572265,43.4865808,1324663402,22,,,,,,,
1.5724833,43.4863589,1324663226,17,,,,,,,
1.5725823,43.4864139,1324663122,11,,,,,,,
1.5727527,43.48656,1324663113,181,,,,,,,
1.5728177,43.486598,1324663237,179,,,,,,,
1.571058,43.4867206,1324717796,43,,,,,,,
1.5711293,43.4869046,1324717797,35,,,,,,,
1.5711922,43.4869159,1324663405,37,,,,,,,
1.5715597,43.4868685,1324663049,46,,,,,,,
1.5715091,43.4869163,1324663468,44,,,,,,,
1.572047,43.487099,1324663307,51,,,,,,,
1.572533,43.4866729,1324663161,186,,,,,,,
1.572598,43.4867099,1324662922,184,,,,,,,
1.5730239,43.4866678,1324663448,145,,,,,,,
1.5728736,43.4868521,1324663089,150,,,,,,,
1.5732899,43.4868339,1324663408,111,,,,,,,
1.5736726,43.4869042,1324662946,89,,,,,,,
1.573197,43.4870672,1324663428,124,,,,,,,
1.573474,43.4871123,1324663128,92,,,,,,,
1.5734173,43.4873552,1324663200,84,,,,,,,
1.573759,43.4874713,1324662970,80,,,,,,,
1.5740136,43.4869611,1324662985,67,,,,,,,
1.5739987,43.4871831,1324663432,54,,,,,,,
1.574244,43.4870281,1324663100,49,,,,,,,
1.5743949,43.4870954,1324663018,31,,,,,,,
1.5744993,43.4872763,1324663504,15,,,,,,,
1.5742595,43.4873913,1324663458,12,,,,,,,
1.5711276,43.4896914,6964496764,63,,,,,,,
1.5712649,43.4896367,6964496768,51,,,,,,,
1.5714141,43.4895762,6964496777,37,,,,,,,
1.5718656,43.4894305,7012548379,199,,,,,,,
1.5719021,43.4894793,3951750904,195,,,,,,,
1.5722631,43.4894613,3951750900,114,,,,,,,
1.5721933,43.4896659,7009876306,101,,,,,,,
1.5723008,43.4896307,7009876319,105,,,,,,,
1.5723224,43.4898931,7009876357,69,,,,,,,
1.5724612,43.4893922,7009876367,136,,,,,,,
1.5725136,43.4895412,7009876322,131,,,,,,,
1.5726316,43.4895086,7009876337,135,,,,,,,
1.5726657,43.4895116,7124488157,135,company,Vision + Sécurité,Allée des Coquelicots,https://vpsecu31.wixsite.com/visionsecurite,+33 6 28 06 81 50,31450,Montlaur
1.5728102,43.4897124,3951750931,25,,,,,,,
1.5724716,43.4898395,3951750958,65,,,,,,,
1.5727051,43.4897552,7009876342,37,,,,,,,
1.5724427,43.4900334,7009894703,72,,,,,,,
1.5726102,43.489983,7009894707,58,,,,,,,
1.5729006,43.4898673,7009894694,40,,,,,,,
1.5730749,43.489765,7009876382,24,,,,,,,
1.5727946,43.4899047,7009894698,46,,,,,,,
1.5710742,43.4910913,1326281520,214,,,,,,,
1.57126,43.4913167,1326281457,300,,,,,,,
1.571314,43.4917048,1326281895,299,,,,,,,
